Name,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
Glazing Layer North,None,None,None,None,None,None,None,None,2.86184304,0.229,0.2519,37
Glazing Layer West,None,None,None,None,None,None,None,None,2.86184304,0.229,0.2519,50
Glazing Layer South,None,None,None,None,None,None,None,None,2.86184304,0.229,0.2519,63
Glazing Layer East,None,None,None,None,None,None,None,None,2.86184304,0.229,0.2519,76
Semiheated_Roof_Insulation,MediumSmooth,None,None,None,0.9,0.7,0.7,1.88638702129871,None,None,None,89
Std Opaque Door Panel,MediumRough,None,None,None,0.9,0.7,0.7,0.123456790123457,None,None,None,102
Semiheated_Floor_Insulation,MediumSmooth,None,None,None,0.9,0.7,0.7,0.0299387330245182,None,None,None,115
Res_Floor_Insulation,MediumSmooth,None,None,None,0.9,0.7,0.7,0.0299387330245182,None,None,None,128
Nonres_Floor_Insulation,MediumSmooth,None,None,None,0.9,0.7,0.7,0.0299387330245182,None,None,None,141
Semiheated_Exterior_Wall_Insulation_top,MediumSmooth,None,None,None,0.9,0.7,0.7,0.219395660736179,None,None,None,154
Semiheated_Exterior_Wall_Insulation_mid,MediumSmooth,None,None,None,0.9,0.7,0.7,0.219395660736179,None,None,None,167
Semiheated_Exterior_Wall_Insulation_grd,MediumSmooth,None,None,None,0.9,0.7,0.7,0.159283550695506,None,None,None,180
Res_Exterior_Wall_Insulation_top,MediumSmooth,None,None,None,0.9,0.7,0.7,1.59504478476111,None,None,None,193
Res_Exterior_Wall_Insulation_mid,MediumSmooth,None,None,None,0.9,0.7,0.7,1.59504478476111,None,None,None,206
Res_Exterior_Wall_Insulation_grd,MediumSmooth,None,None,None,0.9,0.7,0.7,1.06783369996193,None,None,None,219
Nonres_Exterior_Wall_Insulation_top,MediumSmooth,None,None,None,0.9,0.7,0.7,1.59504478476111,None,None,None,232
Nonres_Exterior_Wall_Insulation_mid,MediumSmooth,None,None,None,0.9,0.7,0.7,1.59504478476111,None,None,None,245
Nonres_Exterior_Wall_Insulation_grd,MediumSmooth,None,None,None,0.9,0.7,0.7,1.06783369996193,None,None,None,258
Res_Roof_Insulation,MediumSmooth,None,None,None,0.9,0.7,0.7,6.23478687961654,None,None,None,271
Nonres_Roof_Insulation,MediumSmooth,None,None,None,0.9,0.7,0.7,6.23478687961654,None,None,None,284
Air_Wall_Material,Rough,None,None,None,0.9,0.7,0.7,0.2079491,None,None,None,297
CP02 CARPET PAD,VeryRough,None,None,None,0.9,0.7,0.8,0.21648,None,None,None,310
M10 200mm concrete block basement wall,MediumRough,1.326,1842.0,912.0,0.9,0.7,0.7,None,None,None,None,323
M10 200mm concrete block wall,MediumRough,0.72,800.0,832.0,0.9,0.7,0.7,None,None,None,None,336
200mm Normalweight concrete floor,MediumRough,2.31,2322.0,832.0,0.9,0.7,0.7,None,None,None,None,349
150mm Normalweight concrete floor,MediumRough,2.31,2322.0,832.0,0.9,0.7,0.7,None,None,None,None,362
100mm Normalweight concrete floor,MediumRough,2.31,2322.0,832.0,0.9,0.7,0.7,None,None,None,None,375
200mm Normalweight concrete wall,MediumRough,2.31,2322.0,832.0,0.9,0.7,0.7,None,None,None,None,388
100mm Normalweight concrete wall,MediumRough,2.31,2322.0,832.0,0.9,0.7,0.7,None,None,None,None,401
M14 150mm heavyweight concrete roof,MediumRough,2.31,2322.0,832.0,0.9,0.7,0.7,None,None,None,None,414
G02 16mm plywood,Smooth,0.12,544.0,1210.0,0.9,0.7,0.7,None,None,None,None,427
G01 13mm gypsum board,Smooth,0.16,800.0,1090.0,0.9,0.7,0.5,None,None,None,None,440
F13 Built-up roofing,Rough,0.16,1120.0,1460.0,0.9,0.7,0.7,None,None,None,None,453
F12 Asphalt shingles,VeryRough,0.04,1120.0,1260.0,0.9,0.7,0.7,None,None,None,None,466
F08 Metal roof surface,Smooth,45.28,7824.0,500.0,0.9,0.7,0.7,None,None,None,None,479
F08 Metal surface,Smooth,45.28,7824.0,500.0,0.9,0.7,0.7,None,None,None,None,492
F07 25mm stucco,Smooth,0.72,1856.0,840.0,0.9,0.7,0.7,None,None,None,None,505
AC02 Acoustic Ceiling,MediumSmooth,0.057,288.0,1339.0,0.9,0.7,0.2,None,None,None,None,518
Std Wood 6inch,MediumSmooth,0.12,540.0,1210.0,0.9,0.7,0.7,None,None,None,None,531
G01 16mm gypsum board,MediumSmooth,0.16,800.0,1090.0,0.9,0.7,0.7,None,None,None,None,544
Opaque Door panel_con,MediumRough,None,None,None,0.9,0.7,0.7,0.475973498005059,None,None,None,557
