Time,THERMAL ZONE 1::Des Heat Load [W],THERMAL ZONE 1:SINGAPORE ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1::Des Heat Mass Flow [kg/s],THERMAL ZONE 1:SINGAPORE ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1::Des Latent Heat Load [W],THERMAL ZONE 1::Des Latent Cool Load [W],THERMAL ZONE 1::Des Latent Heat Mass Flow [kg/s],THERMAL ZONE 1::Des Latent Cool Mass Flow [kg/s],THERMAL ZONE 1::Des Heat Load No DOAS [W],THERMAL ZONE 1::Des Sens Cool Load No DOAS [W],THERMAL ZONE 1::Des Latent Heat Load No DOAS [W],THERMAL ZONE 1::Des Latent Cool Load No DOAS [W],THERMAL ZONE 1::Heating Zone Temperature [C],THERMAL ZONE 1::Heating Zone Relative Humidity [%],THERMAL ZONE 1:SINGAPORE ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],THERMAL ZONE 1:SINGAPORE ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:10:00,0.000000E+00,1.401183E+02,0.000000E+00,1.236687E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052325E+01
00:20:00,0.000000E+00,1.352961E+02,0.000000E+00,1.194127E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
00:30:00,0.000000E+00,1.307169E+02,0.000000E+00,1.153710E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052325E+01
00:40:00,0.000000E+00,1.263613E+02,0.000000E+00,1.115268E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052325E+01
00:50:00,0.000000E+00,1.222126E+02,0.000000E+00,1.078651E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
01:00:00,0.000000E+00,1.182557E+02,0.000000E+00,1.043728E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
01:10:00,0.000000E+00,1.144814E+02,0.000000E+00,1.010416E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
01:20:00,0.000000E+00,1.108832E+02,0.000000E+00,9.786581E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
01:30:00,0.000000E+00,1.074559E+02,0.000000E+00,9.484087E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052325E+01
01:40:00,0.000000E+00,1.041950E+02,0.000000E+00,9.196274E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052325E+01
01:50:00,0.000000E+00,1.010962E+02,0.000000E+00,8.922779E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
02:00:00,0.000000E+00,9.815607E+01,0.000000E+00,8.663280E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
02:10:00,0.000000E+00,9.536695E+01,0.000000E+00,8.417111E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
02:20:00,0.000000E+00,9.272013E+01,0.000000E+00,8.183502E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052325E+01
02:30:00,0.000000E+00,9.020729E+01,0.000000E+00,7.961718E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
02:40:00,0.000000E+00,8.782100E+01,0.000000E+00,7.751103E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
02:50:00,0.000000E+00,8.555462E+01,0.000000E+00,7.551072E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
03:00:00,0.000000E+00,8.340225E+01,0.000000E+00,7.361103E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
03:10:00,0.000000E+00,8.135474E+01,0.000000E+00,7.180390E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
03:20:00,0.000000E+00,7.940211E+01,0.000000E+00,7.008050E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
03:30:00,0.000000E+00,7.753705E+01,0.000000E+00,6.843439E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
03:40:00,0.000000E+00,7.575153E+01,0.000000E+00,6.685849E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052325E+01
03:50:00,0.000000E+00,7.403766E+01,0.000000E+00,6.534582E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
04:00:00,0.000000E+00,7.238881E+01,0.000000E+00,6.389054E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
04:10:00,0.000000E+00,7.080157E+01,0.000000E+00,6.248964E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052325E+01
04:20:00,0.000000E+00,6.927539E+01,0.000000E+00,6.114264E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
04:30:00,0.000000E+00,6.780794E+01,0.000000E+00,5.984745E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
04:40:00,0.000000E+00,6.639865E+01,0.000000E+00,5.860361E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052325E+01
04:50:00,0.000000E+00,6.504776E+01,0.000000E+00,5.741131E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052325E+01
05:00:00,0.000000E+00,6.375505E+01,0.000000E+00,5.627037E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
05:10:00,0.000000E+00,6.253155E+01,0.000000E+00,5.519050E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
05:20:00,0.000000E+00,6.139121E+01,0.000000E+00,5.418404E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
05:30:00,0.000000E+00,6.034781E+01,0.000000E+00,5.326313E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
05:40:00,0.000000E+00,5.941397E+01,0.000000E+00,5.243891E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
