Time,5 ZONE DOAS:DesPer 1:Des Heat Mass Flow [kg/s],5 ZONE DOAS:DesPer 1:Des Heat Cap [W],5 ZONE DOAS:DesPer 1:Des Cool Mass Flow [kg/s],5 ZONE DOAS:DesPer 1:Des Sens Cool Cap [W],5 ZONE DOAS:DesPer 1:Des Tot Cool Cap [W],5 ZONE DOAS:DesPer 2:Des Heat Mass Flow [kg/s],5 ZONE DOAS:DesPer 2:Des Heat Cap [W],5 ZONE DOAS:DesPer 2:Des Cool Mass Flow [kg/s],5 ZONE DOAS:DesPer 2:Des Sens Cool Cap [W],5 ZONE DOAS:DesPer 2:Des Tot Cool Cap [W]
00:15:00,2.643592E-01,0.000000E+00,2.834346E-01,3.431965E+03,9.748020E+03,1.009232E+00,1.258655E+04,2.643592E-01,0.000000E+00,0.000000E+00
00:30:00,2.643592E-01,0.000000E+00,2.786737E-01,3.346175E+03,9.555108E+03,1.008478E+00,1.257715E+04,2.643592E-01,0.000000E+00,0.000000E+00
00:45:00,2.643592E-01,0.000000E+00,2.740961E-01,3.263529E+03,9.369461E+03,1.007739E+00,1.256793E+04,2.643592E-01,0.000000E+00,0.000000E+00
01:00:00,2.643592E-01,0.000000E+00,2.696936E-01,3.183875E+03,9.190739E+03,1.007014E+00,1.255888E+04,2.643592E-01,0.000000E+00,0.000000E+00
01:15:00,2.643592E-01,0.000000E+00,2.657313E-01,3.119208E+03,9.037170E+03,1.007082E+00,1.255974E+04,2.643592E-01,0.000000E+00,0.000000E+00
01:30:00,2.643592E-01,0.000000E+00,2.643592E-01,3.085303E+03,8.972057E+03,1.007150E+00,1.256058E+04,2.643592E-01,0.000000E+00,0.000000E+00
01:45:00,2.643592E-01,0.000000E+00,2.643592E-01,3.067505E+03,8.953608E+03,1.007216E+00,1.256141E+04,2.643592E-01,0.000000E+00,0.000000E+00
02:00:00,2.643592E-01,0.000000E+00,2.643592E-01,3.049707E+03,8.935160E+03,1.007281E+00,1.256221E+04,2.643592E-01,0.000000E+00,0.000000E+00
02:15:00,2.643592E-01,0.000000E+00,2.643592E-01,3.036358E+03,8.921325E+03,1.007345E+00,1.256301E+04,2.643592E-01,0.000000E+00,0.000000E+00
02:30:00,2.643592E-01,0.000000E+00,2.643592E-01,3.023010E+03,8.907485E+03,1.007407E+00,1.256379E+04,2.643592E-01,0.000000E+00,0.000000E+00
02:45:00,2.643592E-01,0.000000E+00,2.643592E-01,3.009661E+03,8.893649E+03,1.007468E+00,1.256455E+04,2.643592E-01,0.000000E+00,0.000000E+00
03:00:00,2.643592E-01,0.000000E+00,2.643592E-01,2.996313E+03,8.879814E+03,1.007528E+00,1.256530E+04,2.643592E-01,0.000000E+00,0.000000E+00
03:15:00,2.643592E-01,0.000000E+00,2.643592E-01,2.982964E+03,8.865979E+03,1.007587E+00,1.256604E+04,2.643592E-01,0.000000E+00,0.000000E+00
03:30:00,2.643592E-01,0.000000E+00,2.643592E-01,2.969616E+03,8.852144E+03,1.007645E+00,1.256676E+04,2.643592E-01,0.000000E+00,0.000000E+00
03:45:00,2.643592E-01,0.000000E+00,2.643592E-01,2.956267E+03,8.838308E+03,1.007702E+00,1.256746E+04,2.643592E-01,0.000000E+00,0.000000E+00
04:00:00,2.643592E-01,0.000000E+00,2.643592E-01,2.942918E+03,8.824468E+03,1.007757E+00,1.256816E+04,2.643592E-01,0.000000E+00,0.000000E+00
04:15:00,2.643592E-01,0.000000E+00,2.643592E-01,2.934019E+03,8.815247E+03,1.007812E+00,1.256884E+04,2.643592E-01,0.000000E+00,0.000000E+00
